QID SF SYS ITER TIME
0 1000 cmr_time 0 12.804
0 1000 spark_time 0 10.587
0 1000 cmr_time 1 3.08
0 1000 spark_time 1 5.619
0 1000 cmr_time 2 3.206
0 1000 spark_time 2 5.296
0 1000 cmr_time 3 3.3080000000000003
0 1000 spark_time 3 5.0200000000000005
0 1000 cmr_time 4 3.969
0 1000 spark_time 4 5.0920000000000005
0 1000 cmr_ans_display_time 0 0.000263
0 1000 cmr_ans_display_time 1 0.000184
0 1000 cmr_ans_display_time 2 0.000178
0 1000 cmr_ans_display_time 3 0.000194
0 1000 cmr_ans_display_time 4 0.00019999999999999998
1 1000 cmr_time 0 9.373
1 1000 spark_time 0 9.743
1 1000 cmr_time 1 4.263
1 1000 spark_time 1 6.304
1 1000 cmr_time 2 4.424
1 1000 spark_time 2 5.821
1 1000 cmr_time 3 3.621
1 1000 spark_time 3 5.2940000000000005
1 1000 cmr_time 4 3.762
1 1000 spark_time 4 5.716
1 1000 cmr_ans_display_time 0 0.050739
1 1000 cmr_ans_display_time 1 0.051154
1 1000 cmr_ans_display_time 2 0.057387999999999995
1 1000 cmr_ans_display_time 3 0.049579
1 1000 cmr_ans_display_time 4 0.054826
2 1000 cmr_time 0 7.774
2 1000 spark_time 0 4.0200000000000005
2 1000 cmr_time 1 1.434
2 1000 spark_time 1 1.745
2 1000 cmr_time 2 1.337
2 1000 spark_time 2 1.596
2 1000 cmr_time 3 1.22
2 1000 spark_time 3 1.443
2 1000 cmr_time 4 1.214
2 1000 spark_time 4 1.3820000000000001
2 1000 cmr_ans_display_time 0 0.000258
2 1000 cmr_ans_display_time 1 0.000184
2 1000 cmr_ans_display_time 2 0.000187
2 1000 cmr_ans_display_time 3 0.000178
2 1000 cmr_ans_display_time 4 0.00014
3 1000 cmr_time 0 36.228
3 1000 spark_time 0 92.327
3 1000 cmr_time 1 18.689
3 1000 spark_time 1 71.95400000000001
3 1000 cmr_time 2 19.098
3 1000 spark_time 2 75.767
3 1000 cmr_time 3 20.14
3 1000 spark_time 3 77.34
3 1000 cmr_time 4 19.379
3 1000 spark_time 4 89.73400000000001
3 1000 cmr_ans_display_time 0 0.000358
3 1000 cmr_ans_display_time 1 0.00020999999999999998
3 1000 cmr_ans_display_time 2 0.000146
3 1000 cmr_ans_display_time 3 0.000268
3 1000 cmr_ans_display_time 4 0.00022099999999999998
4 1000 cmr_time 0 23.189
4 1000 spark_time 0 22.182000000000002
4 1000 cmr_time 1 7.548
4 1000 spark_time 1 14.123000000000001
4 1000 cmr_time 2 5.922
4 1000 spark_time 2 13.764000000000001
4 1000 cmr_time 3 5.496
4 1000 spark_time 3 15.193
4 1000 cmr_time 4 5.9590000000000005
4 1000 spark_time 4 13.816
4 1000 cmr_ans_display_time 0 0.00029099999999999997
4 1000 cmr_ans_display_time 1 0.000196
4 1000 cmr_ans_display_time 2 0.000196
4 1000 cmr_ans_display_time 3 0.00019899999999999999
4 1000 cmr_ans_display_time 4 0.000205
5 1000 cmr_time 0 11.731
5 1000 spark_time 0 15.238
5 1000 cmr_time 1 4.351
5 1000 spark_time 1 10.496
5 1000 cmr_time 2 3.162
5 1000 spark_time 2 8.547
5 1000 cmr_time 3 3.129
5 1000 spark_time 3 9.124
5 1000 cmr_time 4 3.338
5 1000 spark_time 4 8.887
5 1000 cmr_ans_display_time 0 0.000174
5 1000 cmr_ans_display_time 1 9.4e-05
5 1000 cmr_ans_display_time 2 6.1e-05
5 1000 cmr_ans_display_time 3 7.4e-05
5 1000 cmr_ans_display_time 4 8.999999999999999e-05
6 1000 cmr_time 0 9.064
6 1000 spark_time 0 7.219
6 1000 cmr_time 1 2.603
6 1000 spark_time 1 3.611
6 1000 cmr_time 2 2.418
6 1000 spark_time 2 3.047
6 1000 cmr_time 3 2.258
6 1000 spark_time 3 3.0700000000000003
6 1000 cmr_time 4 2.42
6 1000 spark_time 4 3.142
6 1000 cmr_ans_display_time 0 0.000305
6 1000 cmr_ans_display_time 1 0.000356
